invoice_id,transaction_id,date,customer_name,total_amount,status,gst_amount,discount,net_amount
INV_57628168,TXN_25EA83B3,2026-08-28,Andre Mills,1726.52,PAID,310.77,0.0,1726.52
INV_970067EE,TXN_6BB17682,2026-08-23,Stephen Wilson,1629.77,PAID,293.36,0.0,1629.77
INV_BC7ED3B1,TXN_284B783C,2026-08-27,Colton Smith,4009.35,PAID,721.68,0.0,4009.35
INV_68BDC760,TXN_0C9FE8C4,2026-08-10,Michael Lopez,2668.89,PAID,480.4,0.0,2668.89
INV_2F0A069A,TXN_FA4B2610,2026-08-27,Eric Williams,1179.35,PAID,212.28,0.0,1179.35
INV_62F11C72,TXN_271805B9,2026-08-08,Mary Williams,2545.58,PAID,458.2,0.0,2545.58
INV_22AAD2B6,TXN_8C3C652C,2026-09-03,Christian Zhang,1713.85,PAID,308.49,0.0,1713.85
INV_D0BA41CE,TXN_4385BD02,2026-08-08,April Evans,1824.71,PAID,328.45,0.0,1824.71
INV_7163DC9A,TXN_EC5AEBCE,2026-08-17,John Clark,4193.5,PAID,754.83,0.0,4193.5
INV_ADD53D7E,TXN_809122E9,2026-08-24,Mr. Adam Yu PhD,3582.97,PAID,644.93,0.0,3582.97
INV_45A86E77,TXN_7A7A2CCA,2026-08-26,Ethan Wang,4564.59,PAID,821.63,0.0,4564.59
INV_97664D71,TXN_90E9B10B,2026-08-12,Nicole Jones,4346.88,PAID,782.44,0.0,4346.88
INV_8159EC13,TXN_DC3AA0A6,2026-08-26,Angela Bullock,1482.65,PAID,266.88,0.0,1482.65
INV_647651C9,TXN_4F3674FA,2026-08-11,Dana Davis,2924.52,PAID,526.41,0.0,2924.52
INV_187DB164,TXN_6926F38F,2026-08-17,Thomas Santiago,327.83,PAID,59.01,0.0,327.83
INV_17A071DF,TXN_A3C027BF,2026-08-14,Bradley Freeman,1233.94,PAID,222.11,0.0,1233.94
INV_129F9664,TXN_DC40C439,2026-08-27,Peter Lowe,4350.67,PAID,783.12,0.0,4350.67
INV_DCB695A1,TXN_8460CEBB,2026-08-28,Nicole Howell,1291.29,PAID,232.43,0.0,1291.29
INV_8E75931A,TXN_CA85F650,2026-08-21,Heather Atkins,4568.04,PAID,822.25,0.0,4568.04
INV_A3E26B12,TXN_86479BA7,2026-09-03,Stephanie Gordon,3932.07,PAID,707.77,0.0,3932.07
INV_D92FE716,TXN_28573B57,2026-08-26,Miguel Taylor,2762.77,PAID,497.3,0.0,2762.77
INV_5D11A6F8,TXN_86538E94,2026-08-23,Christine Graham,122.47,PAID,22.04,0.0,122.47
INV_4C3A942F,TXN_826C78A4,2026-08-22,Madison Silva,277.77,PAID,50.0,0.0,277.77
INV_B0CA2CC1,TXN_EE9FC622,2026-08-23,George Chapman,2523.21,PAID,454.18,0.0,2523.21
INV_6BA25434,TXN_5BF05146,2026-09-01,Rachel Wilson,10.72,PAID,1.93,0.0,10.72
INV_FE072A66,TXN_040BDBE7,2026-08-09,Randall Becker,1695.21,PAID,305.14,0.0,1695.21
INV_4D8EF5F9,TXN_54E40927,2026-08-16,Carlos Sanchez,4702.38,PAID,846.43,0.0,4702.38
INV_EBED66BD,TXN_E7992F22,2026-08-06,Marcus Villegas,3781.21,PAID,680.62,0.0,3781.21
INV_B4FA4E26,TXN_F45900C2,2026-08-24,Melissa Tucker,2697.58,PAID,485.56,0.0,2697.58
INV_E266750F,TXN_9A5D1C9A,2026-08-12,Christine Cross,1622.44,PAID,292.04,0.0,1622.44
INV_0EA3628F,TXN_7C39E09B,2026-08-28,Matthew Kelley,1907.22,PAID,343.3,0.0,1907.22
INV_506F5E97,TXN_03B9E857,2026-08-22,Anthony Acosta,1066.72,PAID,192.01,0.0,1066.72
INV_A2B4A1FD,TXN_86781258,2026-08-11,Jessica Jones,2646.93,PAID,476.45,0.0,2646.93
INV_809BCE29,TXN_642B9475,2026-08-15,Ashley Palmer,1869.19,PAID,336.45,0.0,1869.19
INV_1EB8D7AD,TXN_9187C542,2026-09-01,William Johnson,4413.99,PAID,794.52,0.0,4413.99
INV_8022977E,TXN_EC7A210B,2026-09-03,Laura Reed,2316.07,PAID,416.89,0.0,2316.07
INV_8750235F,TXN_4D651C8E,2026-08-14,Jamie Davies,2273.06,PAID,409.15,0.0,2273.06
INV_F5223B93,TXN_1986FBF4,2026-08-19,Stephen Leon,116.56,PAID,20.98,0.0,116.56
INV_6B21AAA1,TXN_2D8A2F0E,2026-08-20,Diane Garcia,3118.94,PAID,561.41,0.0,3118.94
INV_A487515F,TXN_E610247D,2026-08-22,Ryan Garcia,1255.96,PAID,226.07,0.0,1255.96
INV_EE990385,TXN_ACA1A094,2026-08-30,Alex Moore,4942.01,PAID,889.56,0.0,4942.01
INV_4636209D,TXN_8DC0C8CF,2026-08-06,Lori Martinez,4804.13,PAID,864.74,0.0,4804.13
INV_7C46D42D,TXN_98D0D6AA,2026-08-10,Kevin Medina,788.97,PAID,142.01,0.0,788.97
INV_7B5B3110,TXN_DDEBA675,2026-08-08,Donna Russell,4054.88,PAID,729.88,0.0,4054.88
INV_A83F0F99,TXN_2B9770DE,2026-08-25,Debra George,3980.93,PAID,716.57,0.0,3980.93
INV_B4E111B8,TXN_0F13415C,2026-09-01,Katherine Russell,1418.12,PAID,255.26,0.0,1418.12
INV_E793D2DA,TXN_86DDA896,2026-08-15,Jason Moyer,2342.6,PAID,421.67,0.0,2342.6
INV_5A75C64E,TXN_D70F9E63,2026-08-29,Shannon Wright,2402.63,PAID,432.47,0.0,2402.63
INV_C83BEA65,TXN_9C48A5D3,2026-08-17,Jorge Gutierrez,4255.02,PAID,765.9,0.0,4255.02
INV_76C0AC9A,TXN_C6C07F33,2026-08-07,Kathryn Jackson,3905.69,PAID,703.02,0.0,3905.69
INV_05A1048B,TXN_37AD4597,2026-08-21,Leah Burton,4922.91,PAID,886.12,0.0,4922.91
INV_B0802A39,TXN_27CC1D44,2026-09-02,Ashley Smith,2950.87,PAID,531.16,0.0,2950.87
INV_83C9AC6B,TXN_CE1CE344,2026-08-30,Brandy Reyes,2446.15,PAID,440.31,0.0,2446.15
INV_B51D4637,TXN_42DDB0D3,2026-08-11,Andrew Powell,2582.49,PAID,464.85,0.0,2582.49
INV_B9F3E7E5,TXN_5B34698A,2026-09-03,Heather Russo,335.0,PAID,60.3,0.0,335.0
INV_7EF4005C,TXN_2CF66461,2026-08-20,Daniel Castillo,4080.84,PAID,734.55,0.0,4080.84
INV_3260D8A6,TXN_47F581A8,2026-08-17,Elizabeth Moreno,3958.42,PAID,712.52,0.0,3958.42
INV_E4B92F0F,TXN_E0E3363B,2026-08-14,Adrian Nguyen,1739.48,PAID,313.11,0.0,1739.48
INV_91F36A9C,TXN_A5749BCA,2026-09-03,Shirley Morgan,4950.25,PAID,891.04,0.0,4950.25
INV_4D913BA4,TXN_5709B74D,2026-08-17,Michael Ellison,2371.6,PAID,426.89,0.0,2371.6
INV_375ADA25,TXN_47C0153C,2026-08-14,Andrea Hardy,4325.16,PAID,778.53,0.0,4325.16
INV_7CD22E35,TXN_3E9D9787,2026-09-01,Kimberly Suarez,4796.76,PAID,863.42,0.0,4796.76
INV_4A1D87FC,TXN_1B0A3855,2026-08-12,Emily Powers,1197.51,PAID,215.55,0.0,1197.51
INV_4478C6EF,TXN_E72813AC,2026-08-16,Cheryl Winters,56.47,PAID,10.16,0.0,56.47
INV_24677A2E,TXN_010F0140,2026-08-11,Jared Powell,4062.42,PAID,731.24,0.0,4062.42
INV_75E31554,TXN_D957DE96,2026-08-07,Cynthia Morris,1568.76,PAID,282.38,0.0,1568.76
INV_D7BAD4B7,TXN_A1BA6B59,2026-08-16,Theresa Whitaker,2657.54,PAID,478.36,0.0,2657.54
INV_767E71F6,TXN_47712795,2026-08-21,Christine Alexander,4031.25,PAID,725.62,0.0,4031.25
INV_5D16BCD5,TXN_792A6BCD,2026-08-17,Troy Hayes,4285.45,PAID,771.38,0.0,4285.45
INV_FA6F057B,TXN_2109F01F,2026-08-23,Beth Holt,3642.54,PAID,655.66,0.0,3642.54
INV_F1FA11AE,TXN_B27FB2CD,2026-08-14,Shawn Holmes,37.12,PAID,6.68,0.0,37.12
INV_F0670317,TXN_E9CE9F8E,2026-08-19,Joshua Johnston,1104.15,PAID,198.75,0.0,1104.15
INV_A996605A,TXN_7FD9B15A,2026-08-29,Erica Gutierrez,3261.18,PAID,587.01,0.0,3261.18
INV_52348E00,TXN_63B39366,2026-08-27,Craig Morgan,2084.96,PAID,375.29,0.0,2084.96
INV_7C9346D1,TXN_513B652B,2026-08-31,William Hurley,91.01,PAID,16.38,0.0,91.01
INV_C1BDE959,TXN_C95517E1,2026-09-01,Nicole Duncan,4019.54,PAID,723.52,0.0,4019.54
INV_ABA82448,TXN_408DDDA7,2026-09-03,David Lambert,2374.41,PAID,427.39,0.0,2374.41
INV_17CFA898,TXN_1F455F11,2026-09-03,Debra Watkins,1227.97,PAID,221.03,0.0,1227.97
INV_D4727AE3,TXN_3896268A,2026-08-19,Duane Powell,1408.86,PAID,253.59,0.0,1408.86
INV_08467439,TXN_EA105E04,2026-08-12,Dale Fox,375.64,PAID,67.62,0.0,375.64
INV_94DB9016,TXN_A69F5F20,2026-08-28,Jennifer Perry,1124.1,PAID,202.34,0.0,1124.1
INV_7B0C80E4,TXN_C401F9B7,2026-08-07,Ashley Rodriguez,2114.91,PAID,380.68,0.0,2114.91
INV_B0C57074,TXN_B3BFECE3,2026-08-06,Alexandra Murphy,2198.44,PAID,395.72,0.0,2198.44
INV_D2CA6C39,TXN_7851D67B,2026-08-05,Raymond Smith,2497.28,PAID,449.51,0.0,2497.28
INV_EFDDDA4C,TXN_823FDFA9,2026-08-22,Elizabeth Wise,1178.88,PAID,212.2,0.0,1178.88
INV_C9751510,TXN_B4986C49,2026-08-14,Suzanne Beasley,331.93,PAID,59.75,0.0,331.93
INV_ED37EECE,TXN_B8B3141E,2026-09-02,Darlene Thomas,4857.67,PAID,874.38,0.0,4857.67
INV_A3A79FC1,TXN_2A4FFB3D,2026-08-29,Ashley Cruz,3412.95,PAID,614.33,0.0,3412.95
INV_10F27D55,TXN_9A45331B,2026-08-20,Tammy Wood,408.0,PAID,73.44,0.0,408.0
INV_0D88B231,TXN_1C55D4B7,2026-08-15,Daniel Griffin,2293.77,PAID,412.88,0.0,2293.77
INV_D1A47EE6,TXN_BDBD444C,2026-08-30,Omar Daniel,2041.74,PAID,367.51,0.0,2041.74
INV_B2A4C16E,TXN_3E952EB2,2026-08-06,Valerie Barker,1871.15,PAID,336.81,0.0,1871.15
INV_4D5BB8D0,TXN_EA46C466,2026-08-24,Dennis Green,3957.81,PAID,712.41,0.0,3957.81
INV_096AC83B,TXN_FEC92328,2026-08-08,Rebecca Black,3170.85,PAID,570.75,0.0,3170.85
INV_EBB89998,TXN_2BDC1362,2026-08-19,John Williamson,3026.28,PAID,544.73,0.0,3026.28
INV_00D6EBB4,TXN_26ED86EE,2026-08-26,Misty Stewart,3525.52,PAID,634.59,0.0,3525.52
INV_F2AF54B3,TXN_614CA9D7,2026-08-14,Virginia Waller,4102.74,PAID,738.49,0.0,4102.74
INV_6A0ABA46,TXN_EFD87B66,2026-08-14,Ryan Avila Jr.,4606.2,PAID,829.12,0.0,4606.2
INV_4A9A38AC,TXN_A4C7F864,2026-09-02,Christine Mayer,4312.81,PAID,776.31,0.0,4312.81
INV_9136A06D,TXN_C9473B5E,2026-09-03,Amanda Lamb,415.95,PAID,74.87,0.0,415.95
INV_86C31DFC,TXN_50C9DFC6,2026-08-17,Marco Lambert MD,2859.73,PAID,514.75,0.0,2859.73
INV_3CFF6A18,TXN_978FB2CB,2026-08-15,Tracy Alexander,4523.04,PAID,814.15,0.0,4523.04
INV_D83913C3,TXN_BF29324A,2026-09-02,Jennifer Thompson,382.61,PAID,68.87,0.0,382.61
INV_667B709F,TXN_242051FA,2026-08-16,Trevor Hansen,4031.97,PAID,725.75,0.0,4031.97
INV_B89A61EA,TXN_B401207C,2026-08-12,Matthew Anderson,332.06,PAID,59.77,0.0,332.06
INV_51741453,TXN_BC480D63,2026-08-25,Joseph Freeman,290.08,PAID,52.21,0.0,290.08
INV_7F840B4E,TXN_4E2D4CA7,2026-08-19,Paul Perkins,4201.92,PAID,756.35,0.0,4201.92
INV_76F4686C,TXN_37A00970,2026-08-21,Lynn Lynch,4800.24,PAID,864.04,0.0,4800.24
INV_77FF5AC6,TXN_B066A63B,2026-08-25,Carol Crosby,682.14,PAID,122.79,0.0,682.14
INV_F8DB413A,TXN_71BA16C6,2026-08-18,Michael Mccormick,4146.88,PAID,746.44,0.0,4146.88
INV_64725B80,TXN_DA12CE61,2026-08-08,Alex Mitchell,2153.75,PAID,387.68,0.0,2153.75
INV_97FF28F3,TXN_B80E3152,2026-09-02,Nancy Terry,951.97,PAID,171.35,0.0,951.97
INV_E60616CD,TXN_5BEB167C,2026-08-12,Bethany Richardson,1439.54,PAID,259.12,0.0,1439.54
INV_9BFE4B8F,TXN_3CB2B7FA,2026-08-10,Brett Moran DVM,4571.41,PAID,822.85,0.0,4571.41
INV_52F88272,TXN_B29F2497,2026-08-25,David Jones,525.4,PAID,94.57,0.0,525.4
INV_1D2081F9,TXN_F17CFD26,2026-08-15,Suzanne Chen,851.86,PAID,153.33,0.0,851.86
INV_A21F3849,TXN_35C3A48D,2026-08-14,Amy Horton,4593.08,PAID,826.75,0.0,4593.08
INV_797864B8,TXN_FC2A9BA2,2026-08-21,Darlene Ramirez,3486.46,PAID,627.56,0.0,3486.46
INV_D298FF7B,TXN_230FAA50,2026-08-19,Jessica Giles,1581.92,PAID,284.75,0.0,1581.92
INV_026525CA,TXN_0A18E07D,2026-08-12,Robert Morales,4239.62,PAID,763.13,0.0,4239.62
INV_6CC06DF0,TXN_AE409C04,2026-08-12,Danielle Jones,1985.09,PAID,357.32,0.0,1985.09
INV_E0542E76,TXN_E9DE8189,2026-08-30,Jasmine Reid,3336.56,PAID,600.58,0.0,3336.56
INV_B0447CD0,TXN_FF8CD2F8,2026-08-11,Jamie Chavez,3256.39,PAID,586.15,0.0,3256.39
INV_4CA685B1,TXN_A3DE8F04,2026-08-09,Natasha Compton,3266.36,PAID,587.94,0.0,3266.36
INV_C9BBCDCE,TXN_CEFD748B,2026-08-06,Brittany Newton,3220.03,PAID,579.61,0.0,3220.03
INV_A0B14B34,TXN_22D7B806,2026-08-24,Lauren Monroe,1055.88,PAID,190.06,0.0,1055.88
INV_B67367F7,TXN_1F27F4EB,2026-09-03,Michael James,1755.42,PAID,315.98,0.0,1755.42
INV_068C564A,TXN_54817584,2026-08-26,Roger Russell,4730.15,PAID,851.43,0.0,4730.15
INV_C5EA6BA1,TXN_A031ABF9,2026-08-20,Susan Lopez,2683.92,PAID,483.11,0.0,2683.92
INV_BA6631FA,TXN_E3CC0735,2026-08-18,Daniel Sparks,4758.0,PAID,856.44,0.0,4758.0
INV_D8557F5E,TXN_EEDDE406,2026-08-28,Elizabeth Hernandez,4317.12,PAID,777.08,0.0,4317.12
INV_BD642F39,TXN_6219F196,2026-08-25,Logan Boyer,2707.65,PAID,487.38,0.0,2707.65
INV_BCB99535,TXN_DA6C11AE,2026-08-27,Brett Williams,1943.0,PAID,349.74,0.0,1943.0
INV_C6FB947A,TXN_6B67C0C9,2026-08-30,Stacey Walker,3371.11,PAID,606.8,0.0,3371.11
INV_5A44F3FC,TXN_CC8388AF,2026-08-14,Kevin Wilson Jr.,4643.34,PAID,835.8,0.0,4643.34
INV_49CAB4E3,TXN_4DDD8540,2026-08-28,Ronald Jensen,4474.62,PAID,805.43,0.0,4474.62
INV_33C32153,TXN_427C98C2,2026-08-11,Ryan James,2692.32,PAID,484.62,0.0,2692.32
INV_B51CFCF3,TXN_8244B029,2026-08-11,Melissa Coleman,1260.27,PAID,226.85,0.0,1260.27
INV_B82DD942,TXN_8B0DEDEB,2026-08-07,Jason Williamson,1693.69,PAID,304.86,0.0,1693.69
INV_A8DF3C00,TXN_5E5C1960,2026-08-21,Jamie Key,2077.88,PAID,374.02,0.0,2077.88
INV_01CC3A04,TXN_72C3F84A,2026-08-06,Mrs. Samantha Martin,1935.19,PAID,348.33,0.0,1935.19
INV_A08EFD36,TXN_0CF4CC66,2026-08-08,Kenneth Charles,2861.97,PAID,515.15,0.0,2861.97
INV_A87E6223,TXN_0CFB84F1,2026-08-16,David Ross,749.51,PAID,134.91,0.0,749.51
INV_36102908,TXN_DD9590CE,2026-08-15,Karen Ward,3163.38,PAID,569.41,0.0,3163.38
INV_BBDD69BF,TXN_60C2CF62,2026-08-18,James Peterson,3103.07,PAID,558.55,0.0,3103.07
INV_EF9F6A0E,TXN_47EC9669,2026-08-07,Paul Green,4730.7,PAID,851.53,0.0,4730.7
INV_B3BBD634,TXN_41689D34,2026-08-10,Gregory Davis,4556.86,PAID,820.23,0.0,4556.86
INV_46555333,TXN_D17F6A8B,2026-08-18,Ashley Gray,455.89,PAID,82.06,0.0,455.89
INV_FF1401B9,TXN_3C555D95,2026-08-27,Dr. Robert Lyons,625.64,PAID,112.62,0.0,625.64
INV_3B94BF4C,TXN_F4C96502,2026-08-16,Donna Allen,3885.6,PAID,699.41,0.0,3885.6
INV_438666FF,TXN_C9047248,2026-09-01,Elizabeth Smith,2181.04,PAID,392.59,0.0,2181.04
INV_0DA52D69,TXN_8627FEA1,2026-09-02,Thomas Gill,3681.58,PAID,662.68,0.0,3681.58
INV_E9D1AB54,TXN_2597701B,2026-08-05,Laura Lopez,2476.74,PAID,445.81,0.0,2476.74
INV_870EB6AC,TXN_72EE1CFB,2026-08-19,Ms. Nicole Diaz MD,4548.75,PAID,818.77,0.0,4548.75
INV_7A8F7CE0,TXN_7D9C50B4,2026-08-15,Taylor Porter,4031.15,PAID,725.61,0.0,4031.15
INV_0B43320F,TXN_8F9BA265,2026-08-22,Shelly Bell,3250.52,PAID,585.09,0.0,3250.52
INV_44140284,TXN_F85C2529,2026-08-10,Kimberly Ray,4440.89,PAID,799.36,0.0,4440.89
INV_53320987,TXN_7A282E3E,2026-08-18,Darrell Hill,236.35,PAID,42.54,0.0,236.35
INV_CE017A79,TXN_1FC4AC38,2026-08-24,James Montes,4030.23,PAID,725.44,0.0,4030.23
INV_32BCC0E1,TXN_6B1FC86B,2026-08-28,Rachel Burgess,2957.94,PAID,532.43,0.0,2957.94
INV_6316AFF1,TXN_7D7753D0,2026-08-09,Mr. Calvin Acevedo DVM,3558.84,PAID,640.59,0.0,3558.84
INV_5E7A01F3,TXN_70DCC290,2026-08-13,Cody Harris,227.41,PAID,40.93,0.0,227.41
INV_34F8CD81,TXN_B453317A,2026-09-01,Lawrence Archer,2758.22,PAID,496.48,0.0,2758.22
INV_50B50A2A,TXN_80977290,2026-08-31,Albert Kline,946.18,PAID,170.31,0.0,946.18
INV_44818C74,TXN_A9E525D5,2026-08-08,Stephanie Hudson,2561.37,PAID,461.05,0.0,2561.37
INV_4EF1A6D4,TXN_91BFCB74,2026-08-20,Elizabeth Bridges,1527.49,PAID,274.95,0.0,1527.49
INV_4C572168,TXN_05BE2884,2026-08-12,Deanna Friedman,2443.45,PAID,439.82,0.0,2443.45
INV_6064482F,TXN_D129D1A2,2026-08-17,Joseph Miller,919.04,PAID,165.43,0.0,919.04
INV_9EB6E50F,TXN_EBF85815,2026-08-13,Laura Levy DVM,47.35,PAID,8.52,0.0,47.35
INV_1F25360B,TXN_5F98E778,2026-08-15,Brian Wade,3900.91,PAID,702.16,0.0,3900.91
INV_4BDA9149,TXN_2E766233,2026-08-29,Wesley Johnson,3909.04,PAID,703.63,0.0,3909.04
INV_55A04944,TXN_C00385DB,2026-08-26,Andrew Noble,901.49,PAID,162.27,0.0,901.49
INV_D9F3010E,TXN_E6487DCD,2026-08-27,Stephen Patel,245.82,PAID,44.25,0.0,245.82
INV_4F61A98D,TXN_D8D45E9E,2026-08-11,Janet Edwards,4875.48,PAID,877.59,0.0,4875.48
INV_0901073B,TXN_3BF68855,2026-08-09,Carly Potter,2073.16,PAID,373.17,0.0,2073.16
INV_9AFD1E84,TXN_807F8F9C,2026-09-01,Mrs. Lindsey Lee,4902.28,PAID,882.41,0.0,4902.28
INV_F2F44498,TXN_99B14DB4,2026-08-09,Michelle Hull,4349.62,PAID,782.93,0.0,4349.62
INV_A96B2F15,TXN_07675023,2026-08-13,Christopher Garcia,764.65,PAID,137.64,0.0,764.65
INV_1B6924F3,TXN_2B25D7AB,2026-08-23,Kristine Hayden,4232.79,PAID,761.9,0.0,4232.79
INV_59F2928F,TXN_B4EDECDC,2026-08-29,Jenna Young,2316.74,PAID,417.01,0.0,2316.74
INV_08B39BED,TXN_35FF6851,2026-08-09,Andrew Rivera,3443.93,PAID,619.91,0.0,3443.93
INV_05932386,TXN_C13A984C,2026-08-30,Dr. Stephanie Hale,1767.53,PAID,318.16,0.0,1767.53
INV_880EA4AF,TXN_0DCBE84D,2026-08-10,Tammie Douglas,1966.33,PAID,353.94,0.0,1966.33
INV_E1EA0D04,TXN_B438AE5B,2026-08-28,Deborah Drake,1516.18,PAID,272.91,0.0,1516.18
INV_A2CE3354,TXN_23F8F9D6,2026-08-08,Morgan Andrews,2889.85,PAID,520.17,0.0,2889.85
INV_C3299F93,TXN_88B65823,2026-08-06,Ian Hill,2773.7,PAID,499.27,0.0,2773.7
INV_06176460,TXN_CFFFC406,2026-08-11,Christina Ford,2792.6,PAID,502.67,0.0,2792.6
INV_B410AC4E,TXN_62FE56CD,2026-08-22,John Cameron,1017.62,PAID,183.17,0.0,1017.62
INV_144D0880,TXN_C3F68F77,2026-08-13,Jorge Wilcox,1523.54,PAID,274.24,0.0,1523.54
INV_6CC8A9B6,TXN_C786328C,2026-09-01,Allison Kim,4866.65,PAID,876.0,0.0,4866.65
INV_5F6A059D,TXN_3BEB08F7,2026-08-22,Alexis Price,2657.13,PAID,478.28,0.0,2657.13
INV_A15C48DF,TXN_7EB54B2C,2026-08-17,Matthew Delacruz,2946.82,PAID,530.43,0.0,2946.82
INV_B613D5BD,TXN_D4FC2C06,2026-08-18,Matthew Nguyen,4159.71,PAID,748.75,0.0,4159.71
INV_035EA963,TXN_B9C485C3,2026-08-10,Samuel Andrade,3160.93,PAID,568.97,0.0,3160.93
INV_5C97DB58,TXN_DE42B4EF,2026-08-11,Daniel Vasquez,4072.71,PAID,733.09,0.0,4072.71
INV_D442C553,TXN_7372BC8F,2026-08-14,Thomas Munoz,4725.9,PAID,850.66,0.0,4725.9
INV_63E471E1,TXN_7DA8DB6C,2026-08-20,Benjamin Barber,991.56,PAID,178.48,0.0,991.56
INV_0A70200D,TXN_731C014D,2026-08-21,Matthew Hoffman,3509.15,PAID,631.65,0.0,3509.15
INV_3512437B,TXN_EAB9E095,2026-08-26,Kenneth Carroll,1947.84,PAID,350.61,0.0,1947.84
INV_9A0FFBA7,TXN_ACC8AFCE,2026-08-09,Dawn Donovan,1000.63,PAID,180.11,0.0,1000.63
INV_78CBB063,TXN_8FFCED05,2026-08-17,Leonard Hicks,665.58,PAID,119.8,0.0,665.58
INV_058FC09B,TXN_C12BD270,2026-08-14,Thomas Townsend,314.76,PAID,56.66,0.0,314.76
INV_9576FA21,TXN_B10BFD31,2026-08-25,William Torres,2728.95,PAID,491.21,0.0,2728.95
INV_F323742A,TXN_CA9D94C3,2026-09-01,Alan Garcia,3667.33,PAID,660.12,0.0,3667.33
INV_4F11D1BB,TXN_16C2D82E,2026-08-16,Patricia Lyons,862.33,PAID,155.22,0.0,862.33
INV_4FC7DF7D,TXN_788E521F,2026-09-01,Timothy Salinas,2232.99,PAID,401.94,0.0,2232.99
INV_0DC47113,TXN_56DA4197,2026-08-24,Donald Bray,751.95,PAID,135.35,0.0,751.95
INV_94610C84,TXN_ED9346D1,2026-09-02,Jennifer Ellis,2488.23,PAID,447.88,0.0,2488.23
INV_32717A34,TXN_498CF1F1,2026-08-06,Kendra Wilson,4952.86,PAID,891.51,0.0,4952.86
INV_26B3905C,TXN_62D7C0AF,2026-08-11,Jennifer Morris,656.67,PAID,118.2,0.0,656.67
INV_BA898C40,TXN_B4EDEE9A,2026-08-18,Heather Stewart,1952.45,PAID,351.44,0.0,1952.45
INV_9F803083,TXN_D14768CC,2026-08-29,Erin Henderson,4865.34,PAID,875.76,0.0,4865.34
INV_A23E9152,TXN_210A562F,2026-08-25,Michael Lambert,3272.85,PAID,589.11,0.0,3272.85
INV_26948BB5,TXN_CAAE8510,2026-09-01,Jessica Perez,3180.51,PAID,572.49,0.0,3180.51
INV_B35A0BB1,TXN_5DE1D983,2026-08-24,Kimberly Lloyd,4796.96,PAID,863.45,0.0,4796.96
INV_5D3939ED,TXN_9BD2F22A,2026-08-27,Emma Walker,4979.8,PAID,896.36,0.0,4979.8
INV_A9BE6FF3,TXN_5E7E514F,2026-08-20,Dawn Fletcher,2646.28,PAID,476.33,0.0,2646.28
INV_BB7E0D0D,TXN_57531D98,2026-08-10,Amy Bowman,1618.11,PAID,291.26,0.0,1618.11
INV_F0D5C00D,TXN_58B087C9,2026-08-16,Patricia Jefferson,4906.54,PAID,883.18,0.0,4906.54
INV_90A0FB58,TXN_4332985E,2026-08-10,Brian Strong,4426.49,PAID,796.77,0.0,4426.49
INV_A37FF8BB,TXN_31A23EB3,2026-08-26,Alexander Reeves,915.67,PAID,164.82,0.0,915.67
INV_3969CB1A,TXN_A4037887,2026-08-11,David Little,3649.57,PAID,656.92,0.0,3649.57
INV_DA258ADA,TXN_2FA45468,2026-08-25,Robert Morris,2545.68,PAID,458.22,0.0,2545.68
INV_BA1144B8,TXN_8C74F46F,2026-08-25,Lauren Rodriguez,1654.96,PAID,297.89,0.0,1654.96
INV_33420134,TXN_15D67FB4,2026-08-28,Sonya Griffin,490.35,PAID,88.26,0.0,490.35
